,asin,awesomeness
0,00004C1575E00FDAB2DF85DA99F0891E,0
1,000056B2BB04C27DBA74979B4DBCC516,1
2,000069AC93D31A15BC5707FCA696C52C,0
3,000147A59EA421EE494EA6CD56CA25ED,0
4,00017A51C0C1C48D832D4F91B9309D81,1
5,0001914458A028F40D4B4DFCE2A135E3,1
6,00023FA16762C953E70F939F232A352C,1
7,000A58EFC2DCFB0F84BC517FFEFBBA4B,0
8,000AF123A46E5BC3F8A6508AB9886084,1
9,000ED0EC3B8CBAE683316A13215B565B,1
10,000F1F8A86B53D944FD6A47EB2DFCCD6,1
11,00101631CBB78F680C66EB058EFEA078,1
12,001081F4F6B8E157C233742E1482E62B,0
13,0010E38D821EAD083C1D3E1864E06100,1
14,0010F40760ED6D3888939C35062260B0,1
15,001107F58E5B676836AC06B8005DAED4,1
16,00112DF760CB4144B3825B024BAF8A8D,0
17,001166BEA2530E1750798C35877B9416,0
18,0011B79B918DC558369825FEA0EA21A4,0
19,00128970A53984FFCBF608258E13E05D,0
20,0014769838DC2F8EF5888D6ACEF3BB72,1
21,00156763E47110514A065D149C009BC8,1
22,0018B91528C69A29B24ACBF7831C7D4D,0
23,001D710CEE24FFA42A9736485A8FBC63,0
24,001EEC77FE4B4BB6CCA75024B3D397B6,1
25,001F7693CAFDAC2BA57A0FCD1FABCF96,0
26,001F946260E008FC8C004F522DCAC4F3,1
27,0022897FA263F1604B2AE58E64D040B4,0
28,002321725A59A56189B8F6F68C1CF9E4,1
29,00238F98261DB00E1CB0FA1EE9854348,0
30,0023CD2F4559461DC53F8A4C5989CC26,1
31,0024919EC188ACC7096E49ADEE34211B,1
32,00252848BC494847BD71DEA4EAC519CA,0
33,00269D54BB7376D3B54E9FB66A996A18,1
34,00279CBAD5099A7CABE2856EC6A924CC,0
35,0028DE51E2CB3DD8090E7988E8EAC5B5,1
36,002B9D7CCEBF0D7A2EECE2AAF73C2D68,0
37,002C063A9AE7C347EC6246EEEE56B53F,0
38,002E82D4A9886478E5E75CEECA9FF75A,1
39,002E89DD2B29380BBD134551F4C8B442,0
40,002E980A7607193399BE482D6187121D,1
41,00315589B89F71F265F93FDA0EEA3A83,0
42,00318D2F51F0E48CFEA7CDB863849480,1
43,0033B5DCC765C62AEABD98B28FF61055,0
44,00345E7605D3E45838F7A94DFE2358A4,1
45,0035AACF76D5AD95107CCDCE5F8E51D7,0
46,0037BA21FEE0B9548B906A1AE965F7BD,1
47,003CBAB09521205885B09C36C20EEDA2,0
48,00400C5B21C4560FC0DE729EA4D89429,1
49,00417D8E29A33D5272F7186CBBB0CFD9,0
50,0041BD45F14DBE894A5B1FE4897D8F09,1
51,0041CF2994D0B6240402852F67EF7ECE,0
52,004399459BAD837F3B93E19F81C082C9,0
53,00451A2BFE2F9CC46254A258E721ACD7,1
54,0045F014C5960F03E56BD33BE07EA4B4,0
55,00470E028FCE9F7ABBC427AF6D78A85C,0
56,004AC23F1D5FAC4E940FCFD66E08A99A,0
57,004DB166BAF2356D0E1CD480A3180342,1
58,004E9124135A8F67B5B341ED7B9F43EF,0
59,005A995C91A1C5B77FBF257E68132E57,0
60,005AE172CFD41EEE048A92BF88063BF8,1
61,005B74C7E10A958F52FBDAB711F01601,1
62,005E9C50556D46B40D401959598356B2,0
63,0062C1F8BEB99AD780CB309A05600AD4,0
64,0064DA96A1038FFBD86049CB2EE7F11E,1
65,006AA0769C62E4F694790DA8375E896F,0
66,006FAFB49694BC69D5CBAEF362B9E39D,1
67,006FD9DA082B8FDDFACF05DF01BB64F7,1
68,00708171094600D3E73E99F40F0CF6CB,1
69,0072E49D7A6F533806C539271FF0C260,0
70,0072F19744837475A538FAF86D5EA1D6,0
71,00766750DABC887910B6DA60A362DF1D,0
72,0076C7FAC35E5922F585A90F81E623DE,0
73,00798BF2778F4312AA81701F92755081,0
74,007993658F7951090FBF8A4CA104CF7C,0
75,007A20D23CC5A40B50F6C735AA2AA093,0
76,007BC942D92DBCD5531C9F5D3E2A0827,0
77,007C462A57B2FF6AA72BE4AD12718FB4,0
78,007C71FE662CE89EF43144325D04F514,0
79,007D38F9309B901EC395B5B0D21AA4EF,1
80,00804B739B59968024C118DF6A2C6F04,0
81,008229C77F382CFC6A458DB7ADFF2BF3,1
82,0082E7204A453CF9DE45AD4C7A4DF81F,0
