,asin,awesomeness
0,000254CDA01E5AE839E7EE3F6FC1D2F1,1
1,00027761289A98A2884B5F152D3DBF91,0
2,0002E81AED1B9840434EE28E39876BE4,0
3,0003806D9BE7957D8AB9AF9EC04F52D0,1
4,00049B538C925B3EF702FFF6FBD48DFE,1
5,0004D0377FDC88F2DD349170E36324E7,1
6,000564E0025921626AF9AD7CE58C4DE9,1
7,0006001B48B2A068D15FA5DF6A8D8120,1
8,00060723DBA4B273D9C4D8BBF00B472D,1
9,0006215CD3B7AB524822EA4B03BF1D35,0
10,0008B770C9308FC846F8F87ED244A2D6,0
11,00093DB0562DA462AD950FC287A1F4D7,1
12,000A4EE1477F0E66F9F77A52742BFE30,0
13,000BFD712DBCE3DDD81CA2B0E306F619,1
14,000D550D33ABEA8BAF3C8E0FD88C1707,1
15,000D9C747704C4A0BE3A9A20913EC9BB,0
16,000DA902CBF8E7EBF03EED359FF9A975,1
17,000DDF3AEA5AD9936C23A40D3C46A9A8,0
18,000E2EE630EFDC3D4F8B094BD241674A,0
19,000E70DC6510C05AFCF0CF005628ED20,1
20,000E7114C381E047A348CE2AD41F5DCD,1
21,000EA5D55E7E050018AB97D1473D0A83,1
22,000F25579D36C89A2A37E128B5D96817,1
23,000F2B899E70DFDBDF9E23CE5D7D5754,1
24,001046FB00BA52AC83EC1AFA36639395,0
25,0010BA5BFC56BAAB9AFCC9662AEF5D71,1
26,001284527CE20A55C595B9C0CFEC7568,1
27,0013DF468664DE1FA3CD41A72E671C9D,1
28,0014D30399BE488500B05894FD3186A7,1
29,001C05706A0288190C0AF0455310E657,1
30,001D1C8B0D953E22EE70BDFE53D966FC,0
31,001DBBD8771DFFEDD764111BA02203EC,1
32,001DC2730F3CB75EEAFDBA036CF4A268,0
33,001FB694EBBA1D939E66FEA2F80742FA,0
34,001FD709FB5EE3BFE9E8D9BDD128FCEE,0
35,00206DFE5F5CB651791F72F619EE9282,0
36,00207728F63059E51F6475462F855DE8,1
37,002179A87FC40F9504717A1649272ACD,0
38,0021F0768977E74571F42E04B90F5ABB,0
39,0024011FC5EBE2E578E9032EC2EEE3EA,0
40,00241E3EE3A11DCA002DD5E460CA83B0,1
41,0024967F2A14BF524485F960023E4DDB,0
42,00255AA8E14A573176D24AC68524541E,1
43,0026F66943C8075661B0275D9A90B603,0
44,00273228CEC472CAE4A81D7F0AD75EE1,1
45,002763D024E283767A06D780837B13D7,1
46,0027B10490A6437C4F3776318B3063A8,0
47,00286A09CFF79F4B9239CDEDAD21F659,1
48,00288C3E99B1A5D2E07D4B84EC75B3CD,1
49,00290349FBB97F31976D0471975A4789,1
50,0029E9EA5B30E06C794450FB3A2C0AC4,1
51,002A3C45DF67728DDAA6478347D98D09,1
52,002A4FDB7EFA27E3B15A3B193508ABBB,0
53,002D5A9DB74B32CD5BC5CDE1BDBCBA10,1
54,002DE73895CF4FAD46B063A03C5CF59E,1
55,002E3BEBDCA3E14FB68BCEC14FF97E8F,1
56,002E5328F9B627082B65226D51C8AA63,0
57,002E53370A78D1034BB24D3324641F54,1
58,002EA53BF96D9EE646D11639B3DC15BC,0
59,002EE8CD8D1991C903C9DB060F35EFAE,0
60,002F3382BDE5F1D37501B745D9EE828C,0
61,0030675B61CAAAC9058F4E081B31E61D,0
62,003178759FFC154398A552ABED66ACC2,0
63,0031D5404E1AAC7351BBCB2B682ABD4B,1
64,0031DCD89BE9AF5A8E9822424C04CFD2,0
65,003205D5371E5110C953AEE02ABF61A6,1
66,00330F31BD7F8AE802E35BE61D77BC84,0
67,00335DBC91A459707430D550690D51F8,1
68,0033C5ECECB1F156DAA13CC61461B419,1
69,0034E27E9E3E8B69493B5AB27EDD636D,0
70,0036B722B525759FDE4CE7C694F717AC,0
71,0036BD0B9E3BC69CF9D6A52D2FCA818B,0
72,0036CB7045D22CC1A31C2D44AE7F6365,1
73,0038554776FEB435E7EAD29B7DC743BA,1
74,00392C76AD3AB39BD5CDB05F90CD2A1C,1
75,003BA62325497EAC7B4198C1162AB286,1
76,003CB91B0AD32C16DE2106095C87DDA0,1
77,003D11998112A405EF34E13CDD8B8839,0
78,003D2DF9F6ECAB710AF5C696B0B38519,1
79,003D50A3DD2679EDAA6846B8CC988E4C,0
